time_s,V_exp,FDM,FVM-S0,FVM-S1,FVM-S2
3448,4.08918428421021,4.09355928009738,4.0935592769264,4.09355859806276,4.0935588383434
3449,4.0892972946167,4.09355929767424,4.09355929440162,4.09355861712562,4.09355885684432
3450,4.08923387527466,4.09355931520978,4.09355931183598,4.0935586361439,4.09355887530197
3451,4.08913564682007,4.09355933270408,4.09355932922957,4.09355865511771,4.09355889371645
3452,4.08926343917847,4.09355935015725,4.09355934658247,4.09355867404713,4.09355891208787
3453,4.08927583694458,4.09355936756938,4.0935593638948,4.09355869293229,4.09355893041632
3454,4.08929204940796,4.09355938494057,4.09355938116664,4.09355871177328,4.0935589487019
3455,4.08928632736206,4.09355940227091,4.09355939839809,4.09355873057021,4.09355896694473
3456,4.08924436569214,4.0935594195605,4.09355941558924,4.09355874932317,4.09355898514488
3457,4.08921909332275,4.09355943680944,4.0935594327402,4.09355876803228,4.09355900330248
